rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
5	1	5968	1011	1004	1152.71	1190.88	1192.7	-0.00271229	0.113149	0.319283	0.405429	0.30113	0.362248	556	0	99	0.999798	0.0896598	0.15248	0.0980868	0.0980984	0.015607	2097	2973	0	0.0280525
6	0	4378	468	451	845.602	1066.4	1136.55	-0.14271	0.891964	1.43225	1.46475	1.30224	1.24229	417	0	94	0.998788	0.142792	0.241891	0.120734	0.120771	0.0247391	883	nan	nan	nan
6	1	5901	1151	1139	1139.77	1131.04	1181.02	-0.0754411	-0.0261456	-0.0137457	0.00211263	-0.0135375	0.000666546	569	0	98	0.999596	0.0774576	0.137773	0.0938969	0.0939166	0.0149869	2173	2890	0	0.0334975
7	0	4648	457	452	897.752	1130.77	1211.31	-0.15434	0.886696	1.48819	1.55892	1.37985	1.36336	425	0	96	0.998586	0.154078	0.252582	0.120666	0.120677	0.0260433	934	nan	nan	nan
7	1	6000	1014	1007	1158.89	1231.35	1189.09	0.0627394	0.213645	0.381261	0.4119	0.358648	0.367941	572	0	96	0.999192	0.0908485	0.157333	0.100928	0.10094	0.014968	2091	2965	0	0.0273447
8	0	4554	398	393	879.596	1117.97	1131.46	-0.0263734	0.925804	1.62222	1.73673	1.50297	1.51718	436	0	94	0.998788	0.136174	0.231445	0.121878	0.121888	0.0244323	877	nan	nan	nan
8	1	6073	943	940	1172.99	1225.44	1070.97	0.226607	0.152788	0.479256	0.624262	0.454622	0.561417	601	0	96	0.999192	0.0741107	0.131731	0.0993491	0.099354	0.0153979	2167	2993	0	0.0397536
9	0	4528	379	372	874.574	1128.73	1097.65	0.0611447	0.992759	1.70299	1.80401	1.57332	1.56919	427	0	89	0.997576	0.148222	0.246908	0.123812	0.123827	0.0256026	968	nan	nan	nan
9	1	5835	934	931	1127.02	1196.39	1053.95	0.21748	0.210328	0.463741	0.546556	0.440496	0.49382	574	0	91	0.998182	0.0905039	0.158183	0.10093	0.100935	0.016457	2062	2920	0	0.0332451
0	0	4440	342	336	857.577	1127.08	1129.16	-0.00417237	1.07354	1.81548	1.90917	1.67891	1.6631	393	0	91	0.99798	0.159495	0.261486	0.126158	0.126172	0.0278699	860	nan	nan	nan
